id,day,month,year
263,19,7,2005
265,19,7,2005
271,19,7,2005
278,19,7,2005
299,19,7,2005
309,19,7,2005
323,19,7,2005
324,19,7,2005
339,19,7,2005
354,19,7,2005
373,19,7,2005
397,19,7,2005
420,19,7,2005
426,19,7,2005
549,19,7,2005
84,20,7,2005
300,20,7,2005
302,20,7,2005
303,20,7,2005
310,20,7,2005
340,20,7,2005
343,20,7,2005
359,20,7,2005
451,20,7,2005
492,20,7,2005
515,20,7,2005
517,20,7,2005
519,20,7,2005
211,21,7,2005
224,21,7,2005
270,21,7,2005
291,21,7,2005
307,21,7,2005
435,21,7,2005
436,21,7,2005
447,21,7,2005
449,21,7,2005
494,21,7,2005
521,21,7,2005
1334,21,7,2005
164,22,7,2005
275,22,7,2005
337,22,7,2005
394,22,7,2005
479,22,7,2005
482,22,7,2005
498,22,7,2005
499,22,7,2005
115,23,7,2005
287,23,7,2005
341,23,7,2005
350,23,7,2005
357,23,7,2005
365,23,7,2005
374,23,7,2005
445,23,7,2005
500,23,7,2005
502,23,7,2005
504,23,7,2005
523,23,7,2005
322,24,7,2005
403,24,7,2005
458,24,7,2005
464,24,7,2005
506,24,7,2005
525,24,7,2005
443,25,7,2005
453,25,7,2005
472,25,7,2005
508,25,7,2005
510,25,7,2005
516,25,7,2005
527,25,7,2005
529,25,7,2005
17,26,7,2005
314,26,7,2005
454,26,7,2005
462,26,7,2005
518,26,7,2005
531,26,7,2005
533,26,7,2005
262,27,7,2005
294,27,7,2005
351,27,7,2005
390,27,7,2005
520,27,7,2005
522,27,7,2005
535,27,7,2005
637,27,7,2005
349,28,7,2005
422,28,7,2005
528,28,7,2005
263,20,7,2005
271,20,7,2005
354,20,7,2005
426,20,7,2005
263,21,7,2005
278,21,7,2005
300,21,7,2005
324,21,7,2005
339,21,7,2005
343,21,7,2005
354,21,7,2005
359,21,7,2005
426,21,7,2005
84,22,7,2005
263,22,7,2005
265,22,7,2005
291,22,7,2005
270,23,7,2005
275,23,7,2005
278,23,7,2005
291,23,7,2005
299,23,7,2005
302,23,7,2005
303,23,7,2005
324,23,7,2005
337,23,7,2005
354,23,7,2005
394,23,7,2005
420,23,7,2005
426,23,7,2005
435,23,7,2005
436,23,7,2005
449,23,7,2005
451,23,7,2005
479,23,7,2005
517,23,7,2005
164,24,7,2005
271,24,7,2005
291,24,7,2005
299,24,7,2005
310,24,7,2005
339,24,7,2005
341,24,7,2005
354,24,7,2005
359,24,7,2005
394,24,7,2005
436,24,7,2005
479,24,7,2005
517,24,7,2005
521,24,7,2005
549,24,7,2005
164,25,7,2005
278,25,7,2005
287,25,7,2005
303,25,7,2005
310,25,7,2005
322,25,7,2005
324,25,7,2005
337,25,7,2005
339,25,7,2005
341,25,7,2005
350,25,7,2005
394,25,7,2005
436,25,7,2005
451,25,7,2005
523,25,7,2005
164,26,7,2005
278,26,7,2005
287,26,7,2005
299,26,7,2005
309,26,7,2005
324,26,7,2005
341,26,7,2005
359,26,7,2005
394,26,7,2005
435,26,7,2005
449,26,7,2005
464,26,7,2005
472,26,7,2005
499,26,7,2005
549,26,7,2005
84,27,7,2005
164,27,7,2005
263,27,7,2005
271,27,7,2005
275,27,7,2005
278,27,7,2005
287,27,7,2005
291,27,7,2005
299,27,7,2005
307,27,7,2005
309,27,7,2005
322,27,7,2005
337,27,7,2005
339,27,7,2005
341,27,7,2005
350,27,7,2005
394,27,7,2005
403,27,7,2005
420,27,7,2005
436,27,7,2005
462,27,7,2005
479,27,7,2005
482,27,7,2005
499,27,7,2005
504,27,7,2005
164,28,7,2005
224,28,7,2005
263,28,7,2005
265,28,7,2005
275,28,7,2005
287,28,7,2005
299,28,7,2005
307,28,7,2005
309,28,7,2005
314,28,7,2005
324,28,7,2005
351,28,7,2005
449,28,7,2005
451,28,7,2005
462,28,7,2005
479,28,7,2005
482,28,7,2005
504,28,7,2005
549,28,7,2005
278,29,7,2005
287,29,7,2005
357,29,7,2005
426,29,7,2005
436,29,7,2005
1617,1,7,2014
1623,1,7,2014
1625,1,7,2014
1627,2,7,2014
1607,3,7,2014
1629,3,7,2014
1633,3,7,2014
1635,3,7,2014
1637,3,7,2014
1639,3,7,2014
1642,4,7,2014
1644,4,7,2014
1646,4,7,2014
1648,4,7,2014
1652,4,7,2014
1656,4,7,2014
1636,5,7,2014
1638,5,7,2014
1643,5,7,2014
1650,6,7,2014
1620,7,7,2014
1662,7,7,2014
1664,7,7,2014
1666,7,7,2014
2730,7,7,2014
1668,8,7,2014
1670,8,7,2014
1672,8,7,2014
1674,9,7,2014
1676,9,7,2014
1678,9,7,2014
1682,9,7,2014
1684,10,7,2014
1686,10,7,2014
1688,10,7,2014
1690,10,7,2014
1692,10,7,2014
1694,10,7,2014
1696,10,7,2014
1698,10,7,2014
1712,10,7,2014
1714,10,7,2014
1716,10,7,2014
1718,10,7,2014
1722,10,7,2014
1724,10,7,2014
1726,10,7,2014
1613,3,7,2014
1646,7,7,2014
1635,8,7,2014
1623,9,7,2014
1635,9,7,2014
1639,9,7,2014
1617,10,7,2014
1636,10,7,2014
1646,10,7,2014
1648,10,7,2014
1670,10,7,2014
1672,10,7,2014
2730,10,7,2014
